Date,Close,Volatility,MA_25,MA_100,Decline_Since_Last_Peak,Days_Since_Last_Peak,One_Week_Growth,RSI,Price_to_MA25,Price_to_MA100,Target
2024-08-14,31.0,0.033964757904081794,27.775599822998046,24.223799858093262,-0.8316772530368238,0,0.17781156380849406,66.31814942472576,1.1160875083724444,1.2797331624931991,0
2024-08-15,31.219999313354492,0.02123925029927586,27.91879981994629,24.294199848175047,-0.8304827082383128,0,0.06625678214528907,65.46707187360207,1.1182428870402121,1.285080369325261,0
2024-08-16,32.08000183105469,0.05702320894192541,28.07919990539551,24.36989986419678,-0.8258130957810694,0,0.06897706052599983,68.08972983969302,1.1424827608741948,1.3163780733537302,0
2024-08-19,32.5,0.023935873546896774,28.23239990234375,24.445999870300295,-0.8235326039902185,0,0.1061947218637016,72.65335864623083,1.1511596645137478,1.3294608595447386,0
2024-08-20,32.31999969482422,0.033538524921123795,28.37839988708496,24.524099864959716,-0.8245099635328442,1,0.0635077441243117,70.58377293445315,1.1388943641439448,1.3178872975070275,0
2024-08-21,32.540000915527344,0.021658380637389653,28.551199951171874,24.61939987182617,-0.8233154083778764,0,0.04967744888797876,75.63491603354571,1.139706946509327,1.3217219381844199,0
2024-08-22,31.920000076293945,0.03917049611105961,28.682399978637694,24.709999866485596,-0.826681867873981,1,0.022421549594334067,80.21884408298311,1.1128775869546335,1.2917847126169895,0
2024-08-23,31.780000686645508,0.02900904979992515,28.810400009155273,24.800599880218506,-0.8274420318042647,2,-0.009351656087462135,83.81705095168606,1.1030739134668928,1.281420644667306,0
2024-08-26,30.850000381469727,0.030225862117932524,28.906000061035158,24.88209987640381,-0.832491715870193,5,-0.05076921903170073,71.73468404688572,1.0672524844783022,1.2398471405030167,0
2024-08-27,30.84000015258789,0.024222641471266963,28.987200088500977,24.965699882507323,-0.8325460147732785,6,-0.04579206547682413,73.6897181164042,1.063917869212277,1.2352948364246141,0
2024-08-28,30.360000610351562,0.03429128701117418,29.13760009765625,25.039699897766113,-0.8351522999826426,7,-0.06699447584021223,57.64872111793272,1.04195268342617,1.2124746196762564,0
2024-08-29,31.0,0.043588921994542805,29.312400131225587,25.119699897766115,-0.8316772530368238,8,-0.02882205745911648,57.101860307162355,1.0575728995653504,1.2340911764935862,0
2024-08-30,31.479999542236328,0.025764871391870652,29.484400100708008,25.206399898529053,-0.8290709678274598,9,-0.009439935114137543,65.39589360800639,1.0676832302747241,1.2488891578711079,0
2024-09-03,30.510000228881836,0.04542264016107148,29.62160011291504,25.287299900054933,-0.8343378371492735,13,-0.011021074501902262,50.8849618516246,1.02999163153173,1.2065345192831582,0
2024-09-04,30.59000015258789,0.05133336385091146,29.790400085449217,25.364799900054933,-0.8339034562810461,14,-0.008106355342511917,46.72000122070313,1.0268408636622919,1.2060020293131364,0
2024-09-05,30.15999984741211,0.024140196685237456,29.921200103759766,25.439699897766115,-0.8362382573314393,15,-0.00658764028058878,41.79567102788065,1.007980954735246,1.1855485704868904,0
2024-09-06,30.329999923706055,0.05032682667742428,30.091200103759764,25.52399990081787,-0.8353151966918991,16,-0.02161290568690144,34.83533494802391,1.0079358689292175,1.1882933725734024,0
2024-09-09,34.599998474121094,0.0681957030644384,30.48560005187988,25.651199893951414,-0.8121301036101366,0,0.09911051388989711,60.91475419587006,1.1349620284737514,1.3488647165499583,0
2024-09-10,34.7599983215332,0.042803838543081583,30.912399978637694,25.785699882507323,-0.8112613418736819,0,0.13929852706550205,62.708328200710326,1.124467797568433,1.3480339288798566,0
2024-09-11,34.849998474121094,0.03675389772685084,31.242799911499024,25.92289987564087,-0.810772662102369,0,0.13926114090498976,62.19640016547815,1.1154569556134573,1.344371140624927,0
2024-09-12,34.90999984741211,0.02492837867709015,31.586399917602538,26.067299880981444,-0.8104468686838558,0,0.15749336949706838,66.77890270700144,1.105222498875454,1.3392257735478867,0
2024-09-13,35.59000015258789,0.032027420440057006,31.838799896240236,26.21349988937378,-0.806754626125695,0,0.17342565915308805,70.1587297742809,1.1178185191832757,1.3576973812266513,0
2024-09-16,36.310001373291016,0.0380099732267521,32.0907999420166,26.360199909210206,-0.8028451879551922,0,0.04942205128849664,79.54546064431642,1.1314769790375403,1.377455463097773,0
2024-09-17,36.45000076293945,0.03189190013988598,32.373600006103516,26.50879991531372,-0.8020850240249086,0,0.04861917500034285,79.93597251789183,1.1259174375437826,1.3750151225021265,0
2024-09-18,36.380001068115234,0.0345125954072747,32.61320007324219,26.655499935150146,-0.8024651059900504,1,0.043902515379743656,83.5937559870743,1.1154992759500333,1.3648215624026454,0
2024-09-19,36.83000183105469,0.03108101922112542,32.84640014648438,26.798599948883055,-0.8000217071334861,0,0.05499862480763973,83.23832113311727,1.1212797039189903,1.3743255954156566,0
2024-09-20,37.20000076293945,0.04387675381006281,33.085600204467774,26.94229995727539,-0.7980126995016059,0,0.04523744319890066,83.02541178688617,1.124356231503882,1.3807284761111909,0
2024-09-23,37.95000076293945,0.04395005168366204,33.320400161743166,27.10209997177124,-0.7939403749783033,0,0.04516660224790825,94.07582975874979,1.1389419268293113,1.4002605260281333,0
2024-09-24,36.900001525878906,0.04082167993756636,33.49640022277832,27.249899978637696,-0.7996416251683442,1,0.012345699685059941,83.52816937093979,1.1016109576092914,1.3541334667212106,0
2024-09-25,37.119998931884766,0.021604795288595453,33.688400192260744,27.395599975585938,-0.79844709072629,2,0.020340787301902807,87.8260945282296,1.1018629178007795,1.3549620729228378,0
2024-09-26,37.099998474121094,0.022544288524630446,33.87080009460449,27.533299961090087,-0.7985556885324611,3,0.007330888668019231,87.40331794457306,1.0953387097587637,1.3474592049100766,0
2024-09-27,36.84000015258789,0.023841806333058935,34.06760009765625,27.64959997177124,-0.7999674185868573,4,-0.009677435563663073,72.22225165663164,1.081379376503905,1.3323881788597143,0
2024-09-30,37.20000076293945,0.03198463943082801,34.284400100708005,27.807599983215333,-0.7980126995016059,7,-0.01976284545249396,73.28247553569582,1.0850416123270956,1.3377638050530565,0
2024-10-01,36.459999084472656,0.04058054752440391,34.50880004882813,27.956599979400636,-0.8020307354782799,8,-0.011924184910877766,63.66723919514413,1.0565420713813196,1.304164280038975,0
2024-10-02,37.4900016784668,0.04228649806264868,34.77480010986328,28.12010000228882,-0.7964380623814963,9,0.00996774669258449,68.80467639581207,1.0780795737150304,1.3332101121765327,0
