Date,Portfolio_Value,Cash,Position_Value
2025-02-20,101112.79430726924,101112.79430726924,0.0
2025-02-21,101112.79430726924,101112.79430726924,0.0
2025-02-24,101112.79430726924,101112.79430726924,0.0
2025-02-25,101112.79430726924,101112.79430726924,0.0
2025-02-26,101112.79430726924,101112.79430726924,0.0
2025-02-27,101112.79430726924,101112.79430726924,0.0
2025-02-28,101112.79430726924,101112.79430726924,0.0
2025-03-03,101112.79430726924,101112.79430726924,0.0
2025-03-04,101112.79430726924,101112.79430726924,0.0
2025-03-05,101112.79430726924,101112.79430726924,0.0
2025-03-06,101112.79430726924,101112.79430726924,0.0
2025-03-07,101112.79430726924,101112.79430726924,0.0
2025-03-10,101112.79430726924,101112.79430726924,0.0
2025-03-11,101112.79430726924,101112.79430726924,0.0
2025-03-12,101112.79430726924,101112.79430726924,0.0
2025-03-13,101112.79430726924,101112.79430726924,0.0
2025-03-14,101112.79430726924,101112.79430726924,0.0
2025-03-17,101112.79430726924,101112.79430726924,0.0
2025-03-18,101112.79430726924,101112.79430726924,0.0
2025-03-19,101112.79430726924,101112.79430726924,0.0
2025-03-20,101112.79430726924,101112.79430726924,0.0
2025-03-21,101112.79430726924,101112.79430726924,0.0
2025-03-24,101112.79430726924,101112.79430726924,0.0
2025-03-25,101112.79430726924,101112.79430726924,0.0
2025-03-26,101112.79430726924,101112.79430726924,0.0
2025-03-27,101112.79430726924,101112.79430726924,0.0
2025-03-28,101112.79430726924,101112.79430726924,0.0
2025-03-31,101112.79430726924,101112.79430726924,0.0
2025-04-01,101112.79430726924,101112.79430726924,0.0
2025-04-02,101112.79430726924,101112.79430726924,0.0
2025-04-03,101112.79430726924,101112.79430726924,0.0
2025-04-04,101108.7639537935,98078.41047805117,3030.3534757423354
2025-04-07,100970.93553777342,95048.16162523907,5922.773912534348
2025-04-08,100563.40853664877,92030.13894887957,8533.2695877692
2025-04-09,101537.01973885171,92030.13894887957,9506.880789972141
2025-04-10,100644.46570958458,89009.68448445124,11634.781225133336
2025-04-11,101027.29303698179,89009.68448445124,12017.608552530557
2025-04-14,101100.66879761519,89009.68448445124,12090.984313163955
2025-04-15,101064.73656366469,85976.62151652327,15088.115047141411
2025-04-16,101324.18995727823,85976.62151652327,15347.568440754956
2025-04-17,101827.1260479753,85976.62151652327,15850.504531452032
2025-04-21,101551.70811520872,85976.62151652327,15575.08659868545
2025-04-22,101930.90709755187,85976.62151652327,15954.2855810286
2025-04-23,101875.02582281138,85976.62151652327,15898.404306288117
2025-04-24,102090.56942186892,85976.62151652327,16113.947905345653
2025-04-25,102086.57944158885,85976.62151652327,16109.957925065577
2025-04-28,102146.4506966094,85976.62151652327,16169.829180086135
2025-04-29,102082.58638262028,85976.62151652327,16105.964866097012
2025-04-30,101707.3804592457,85976.62151652327,15730.758942722427
2025-05-01,102118.51005923917,85976.62151652327,16141.888542715893
2025-05-02,102186.36743219686,85976.62151652327,16209.74591567358
2025-05-05,101467.886203098,85976.62151652327,15491.264686574727
2025-05-06,101655.4891647853,85976.62151652327,15678.86764826202
2025-05-07,101547.7165955844,85976.62151652327,15571.09507906113
2025-05-08,102517.66663970391,85976.62151652327,16541.045123180644
